"APOGEE_ID","cluster"
"2M17273419-3048097",2
"2M05140778-4001181",7
"2M17024810-2621268",6
"2M13420261+2821197",7
"2M13255133-4716400",7
"2M13263410-4726212",4
"2M13244182-4728298",3
"2M18353834-2349387",8
"2M19533470+1846213",2
"2M13254865-4723249",4
"2M18362785-2352302",3
"2M13263407-4719003",3
"2M10174100-4623437",6
"2M00250791-7203490",2
"2M13264713-4740039",3
"2M00230658-7145207",2
"2M13252825-4715388",3
"2M15183050+0209224",6
"2M17403391-5341212",5
"2M18355340-2404564",5
"2M13265716-4722069",4
"2M00232481-7158287",2
"2M12390721-2644333",4
"2M13261377-4735340",4
"2M16231206-2629436",1
"2M00260759-7158262",2
"2M15183612+0204052",6
"2M09123357-6452430",6
"2M13271872-4718460",3
"2M13262006-4733527",3
"2M17404971-5352220",4
"2M13244676-4724486",4
"2M16240684-2638001",1
"2M19093777-5954597",4
"2M13241871-4745067",3
"2M18315425-2328124",1
"2M18361840-2353079",4
"2M17342767-3903405",2
"2M13255251-4741136",3
"2M13414878+2817328",6
"2M13130592+1800214",4
"2M19103727-6001039",3
"2M13285668-4710208",3
"2M19532925+1845584",2
"2M17171412+4310462",4
"2M13255281-4730211",1
"2M13251587-4722239",3
"2M17024153-2621081",8
"2M13250192-4719361",4
"2M13265292-4723315",3
"2M15181445+0203131",7
"2M13255972-4723441",3
"2M13243958-4721481",8
"2M13261117-4739336",3
"2M16570983-0410235",8
"2M19114100-5957067",7
"2M16235082-2644323",1
"2M13271600-4735454",7
"2M00245189-7200031",2
"2M13260039-4724447",8
"2M21295311+1212310",3
"2M16232305-2633322",1
"2M21295856+1209214",5
"2M13260731-4729121",4
"2M19394984-3057240",4
"2M13415502+2819149",6
"2M15183049+0207005",6
"2M09112808-6455017",7
"2M13265881-4739150",3
"2M13271664-4734139",4
"2M13272024-4732030",4
"2M16471295-0203534",1
"2M09113076-6453377",6
"2M18361368-2358186",4
"2M13272641-4735396",8
"2M16241589-2632274",1
"2M16241292-2636190",1
"2M18072492-2458004",4
"2M19110326-6006515",5
"2M17024566-2615124",5
"2M05240958-2431483",6
"2M19095404-5959258",8
"2M13272503-4717211",3
"2M15180449+0201030",7
"2M13264842-4735520",3
"2M19393021-3059189",5
"2M17142243-2929316",2
"2M15183955+0202520",6
"2M13420266+2822306",4
"2M15182428+0201090",7
"2M13254464-4731537",3
"2M13264616-4714151",7
"2M21331674-0047039",4
"2M13274101-4747573",4
"2M16565101-0410349",5
"2M19400473-3104389",4
"2M13273825-4724248",5
"2M17362671-4441431",6
"2M13254953-4738014",3
"2M19111713+0102357",2
"2M18315983-2328126",1
"2M13250824-4720197",4
"2M13245867-4714029",8
"2M13260439-4713169",5
"2M13264370-4718107",8
"2M00234943-7204266",2
"2M18360679-2356468",3
"2M16571474-0405533",8
"2M16232508-2629530",1
"2M17163623-2808067",2
"2M17360797-4444124",6
"2M17362611-4448158",6
"2M13272581-4739422",3
"2M05140232-4002311",6
"2M13430354+2823003",6
"2M19395471-3059042",7
"2M17341969-3905457",2
"2M16231761-2634053",3
"2M19104803-5956308",3
"2M19101337-6003493",4
"2M17403884-5344292",5
"2M13260771-4727412",4
"2M16232187-2617160",1
"2M17165612+4304073",8
"2M13272709-4729129",5
"2M05241142-2429121",6
"2M13263049-4734278",8
"2M13273378-4725286",4
"2M19105545-5955449",6
"2M17393096-5334586",4
"2M18372745-2346031",5
"2M13121714+1814178",3
"2M13273991-4725299",3
"2M00525296-2633427",1
"2M09130118-6452430",6
"2M13253481-4723478",5
"2M13261190-4734306",4
"2M17165883+4315116",8
"2M01031868-7053531",7
"2M13260069-4730473",3
"2M00251944-7156129",2
"2M19100424-5955210",3
"2M15185953+0202076",7
"2M13261025-4733496",5
"2M17362589-4446469",6
"2M18354581-2351153",4
